ID,Ref,package,quantity,value,lcsc
3,"SW_MX101,SW_MX128,SW_MX127,SW_MX126,SW_MX125,SW_MX124,SW_MX123,SW_MX122,SW_MX121,SW_MX120,SW_MX119,SW_MX118,SW_MX117,SW_MX116,SW_MX115,SW_MX114,SW_MX113,SW_MX112,SW_MX111,SW_MX110,SW_MX109,SW_MX108,SW_MX107,SW_MX106,SW_MX105,SW_MX104,SW_MX103,SW_MX102,SW_MX212,SW_MX211,SW_MX228,SW_MX227,SW_MX226,SW_MX225,SW_MX224,SW_MX223,SW_MX222,SW_MX221,SW_MX220,SW_MX219,SW_MX218,SW_MX217,SW_MX216,SW_MX215,SW_MX214,SW_MX213,SW_MX210,SW_MX209,SW_MX208,SW_MX207,SW_MX206,SW_MX205,SW_MX204,SW_MX203,SW_MX202,SW_MX201",SW_Cherry_MX_1.00u_PCB,56,SW_MX,DNP
5,R109,R_0603_1608Metric,1,DNP,DNP
6,"U103,U203",LQFP-48_7x7mm_P0.5mm,2,STM32F072C8Tx,C80488
7,"D119,D129,D128,D127,D126,D125,D124,D123,D122,D121,D120,D118,D117,D116,D115,D114,D113,D112,D111,D110,D109,D108,D107,D106,D105,D104,D103,D102,D219,D229,D228,D227,D226,D225,D224,D223,D222,D221,D220,D218,D217,D216,D215,D214,D213,D212,D211,D210,D209,D208,D207,D206,D205,D204,D203,D202",D_SOD-123,56,1N4148,C81598
8,"LED128,LED127,LED126,LED125,LED124,LED123,LED122,LED121,LED120,LED119,LED118,LED117,LED116,LED115,LED114,LED113,LED112,LED111,LED110,LED109,LED108,LED107,LED106,LED105,LED104,LED103,LED102,LED101,LED228,LED227,LED226,LED225,LED224,LED223,LED222,LED221,LED220,LED219,LED218,LED217,LED216,LED215,LED214,LED213,LED212,LED211,LED210,LED209,LED208,LED207,LED206,LED205,LED204,LED203,LED202,LED201",LED_YS-SK6812MINI-E,56,SK6812-MINI-E,DNP
9,"J102,J202",TRRS_MJ-4PP-9,2,AudioJack4,DNP
10,"D101,D201",IC_SOT-143,2,PRTR5V0U2X,C316030
11,"J101,J201",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0,C165948
12,"SW101,SW201",SW_SPST_TL3342,2,RESET,C318884
13,"SW102,SW202",SW_SPST_TL3342,2,BOOT,C318884
14,"R102,R104,R103,R107,R108,R106,R105,R101,R209,R202,R204,R203,R207,R208,R206,R205,R201",R_0603_1608Metric,17,5.11k,C23186
15,"J103,J203",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05,DNP
16,"C106,C103,C108,C107,C105,C206,C203,C208,C207,C205",C_0603_1608Metric,10,0.1uF,C15849
17,"U102,U202",TSSOP-8_4.4x3mm_P0.65mm,2,AT24C64D-XHM-T,C111440
18,"Y101,Y201",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,8MHz,C133366
19,"U101,U201",SOT-23-5,2,TLV73333PDBV,C134139
20,"R110,R210",R_0603_1608Metric,2,470R,C23179
21,"F101,F201",Fuse_1206_3216Metric,2,500mA,C69688
22,"C109,C104,C209,C204",C_0603_1608Metric,4,10pF,C1634
23,"C102,C202",C_0603_1608Metric,2,1uF,C15849
24,"C101,C201",C_0805_2012Metric,2,10uF,C15850
